GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
application,de.openknowledge.ausbildung.mbi.userinteraction,Print,1108,0,81,0,200,0,71,0,29,0
application,de.openknowledge.ausbildung.mbi.userinteraction,Main,385,0,34,0,90,0,26,0,9,0
application,de.openknowledge.ausbildung.mbi.userinteraction,Actions,435,0,27,0,84,0,26,0,8,0
application,de.openknowledge.ausbildung.mbi.userinteraction,FileManagement,1802,0,144,0,328,0,96,0,24,0
